Country,Year,Quarter,GDP Growth Rate,Economic Development Status,Yield Curve,Government Debt to GDP,Unemployment Rate,Inflation Rate,Foreign Exchange Reserves,Consumer Confidence,Current Account Balance,Banking Sector Stability,Type of Governance,Crisis
Country1,2011,Q1,0.034378576074668175,Underdeveloped,1.138249975182758,41.361976390197206,15.30657347553345,3.157972886247821,91.07221186164963,145.990617655594,44.319161043701,Stable,Monarchy,0
Country1,2011,Q2,0.016888700203793988,Underdeveloped,1.2253684002204115,24.830966742313755,11.009620272485115,6.804507736175076,164.19050136777955,123.83298509094317,-44.22818054355451,Unstable,Monarchy,0
Country1,2011,Q3,0.023105585475114754,Underdeveloped,1.9788430336065808,67.27971373023136,6.752590271356089,7.390433588396801,374.2612534640495,58.94029843308791,39.64139776180549,Stable,Monarchy,0
Country1,2011,Q4,0.03462491639186327,Underdeveloped,1.808443933148774,56.599461310828644,12.78227688589773,4.091372686148119,466.2914618741332,97.96943070538279,18.37875977553547,Stable,Monarchy,0
Country1,2012,Q1,0.02145569387069101,Underdeveloped,0.311186407696912,45.679464745839496,9.358451648755366,4.03680502621686,244.17657093558373,77.60567280457306,17.443564044861446,Stable,Monarchy,0
Country1,2012,Q2,0.024706976073947468,Underdeveloped,0.29062928188032167,40.09004150362277,14.336588457200902,3.6864339765713083,211.32549515544997,80.67318973725196,-49.09670682442021,Stable,Monarchy,0
Country1,2012,Q3,0.0283836195263958,Underdeveloped,2.225216765985643,38.85700695005234,13.373113396425245,7.510533041583978,246.38930544967738,142.5470605027499,-10.242602753148745,Stable,Monarchy,0
Country1,2012,Q4,0.02415826690311937,Underdeveloped,1.2926763677292534,52.77443624077104,7.104892911963215,2.5912321573579904,163.58433909917915,101.94289215471633,-25.898412678875083,Stable,Monarchy,0
Country1,2013,Q1,0.014066274423181924,Underdeveloped,0.5672738718248616,59.04784444343431,19.980919439959727,1.3305584625220224,480.64423429742664,125.19154756020555,28.063949628430507,Unstable,Monarchy,0
Country1,2013,Q2,0.016001326490326755,Underdeveloped,2.8927713646674804,84.1291019723518,16.670176645255673,7.569557140555823,59.07924153990755,65.09117577247372,47.52435646953596,Stable,Monarchy,0
Country1,2013,Q3,0.028402985072035793,Underdeveloped,1.3992005634394586,50.54247918364767,16.865569377696715,-1.1688839808307891,154.8327724778465,137.24254128977896,5.022875614156128,Unstable,Monarchy,0
Country1,2013,Q4,0.009837477151440331,Underdeveloped,0.9830276217147575,31.25719282236801,5.2486612227691385,7.346750405404908,26.40226454425816,145.84643757535423,18.687049765904277,Stable,Monarchy,0
Country1,2014,Q1,0.004822141392674152,Underdeveloped,2.5672846127510462,71.6047015179077,13.33614980176557,2.293319161707732,230.32753460367707,75.11295835840696,-5.693938953994682,Stable,Monarchy,0
Country1,2014,Q2,0.01177835335928789,Underdeveloped,2.627229309768766,68.39979829032717,6.542448069561369,-0.9883746329717442,250.08090436360914,79.91847897569994,47.018246481017684,Stable,Monarchy,0
Country1,2014,Q3,0.011415974785882209,Underdeveloped,0.874278953011686,21.250560934322174,7.960160166142622,8.43775053373114,121.29655534184984,145.83287120703318,-26.16771729691816,Stable,Monarchy,0
Country1,2014,Q4,0.028118344168306372,Underdeveloped,0.6481641386045358,53.01884906852949,19.0534371870709,9.803860250316976,292.83591186335644,124.25130798421058,3.005742628172534,Stable,Monarchy,0
Country1,2015,Q1,0.019276646381688727,Underdeveloped,1.5515907475855109,70.63634898231211,11.712837176785694,5.580879280042364,269.5000803391115,87.7286649658042,-19.109804403918474,Stable,Monarchy,0
Country1,2015,Q2,0.01166307771153055,Underdeveloped,1.8092873915120353,58.55195103825444,19.30329882167653,0.7075467880314927,371.2067052325983,102.07415172935944,19.783829948485888,Unstable,Monarchy,0
Country1,2015,Q3,0.016501823875163815,Underdeveloped,1.519978641028231,57.49735605691794,10.015161536236482,7.926065210774695,284.9669381974041,112.04442574271442,-35.93021856442551,Stable,Monarchy,0
Country1,2015,Q4,0.024472023154237695,Underdeveloped,2.1731035975200745,87.6048538924776,3.5805228020577013,-0.08488311957098515,308.56887986529824,75.35667399436961,10.137845739562415,Stable,Monarchy,0
Country1,2016,Q1,0.01573433138453373,Underdeveloped,0.6290794350484101,32.36721644763526,5.825402647438382,3.7478153590070864,83.10007228570372,67.04996008048897,-21.684832463358173,Stable,Monarchy,0
Country1,2016,Q2,0.0175118795888911,Underdeveloped,1.3393001045434725,33.00121780750121,18.10847717503964,1.632726786510165,165.0322850953106,140.42801678889066,37.12123453534768,Unstable,Monarchy,0
Country1,2016,Q3,0.022316585241339504,Underdeveloped,2.0633460279169853,61.490460694235495,18.57702376225361,8.47973700877111,321.13787290026795,91.31539881726744,18.111910121123813,Unstable,Monarchy,0
Country1,2016,Q4,0.010233455665775583,Underdeveloped,1.2649663279324235,73.96030780506861,8.18376458724008,7.104030315900811,296.00042304279634,122.14360409913286,18.685016521126812,Stable,Monarchy,0
Country1,2017,Q1,0.014194620838444858,Underdeveloped,2.4916806106869283,64.62942131357616,16.44672695983462,2.110192511481129,221.29850013109655,70.18739249971266,13.181658685503464,Stable,Monarchy,0
Country1,2017,Q2,0.04514886031599329,Underdeveloped,1.4249462723083008,96.21064192582458,16.695815100487277,-0.978782752280805,119.74926946183666,87.55926880754978,44.80138387664738,Stable,Monarchy,0
Country1,2017,Q3,0.01003746387361506,Underdeveloped,1.8082968200538672,72.74097960588074,5.2812613449246655,7.236339172887611,98.78092015460155,127.98238513830015,-25.761506799173596,Unstable,Monarchy,0
